"","accuracy","heading","latitude","longitude","speed","timestamp"
"447",4,0,39.9895719,-83.0257374,0,1516232258
"448",4,0,39.9895719,-83.0257376,0,1516232259
"449",4,0,39.9895717,-83.025738,0,1516232260
"450",4,0,39.9895715,-83.0257385,0,1516232261
"451",4,0,39.9895713,-83.0257388,0,1516232262
"452",4,0,39.9895711,-83.0257391,0,1516232263
"453",4,0,39.989571,-83.0257394,0,1516232264
"454",4,0,39.9895708,-83.0257397,0,1516232265
"455",4,0,39.9895707,-83.02574,0,1516232266
"456",5,0,39.9895706,-83.0257403,0,1516232267
"457",5,0,39.9895704,-83.0257407,0,1516232268
"458",4,0,39.9895704,-83.0257409,0,1516232269
"459",4,0,39.9895703,-83.0257412,0,1516232270
"460",4,0,39.9895702,-83.0257414,0,1516232271
"461",4,0,39.98957,-83.0257418,0,1516232272
"462",5,0,39.9895699,-83.0257421,0,1516232273
"463",5,0,39.9895698,-83.0257424,0,1516232274
"464",5,0,39.9895697,-83.0257427,0,1516232275
"465",6,0,39.9895695,-83.0257431,0,1516232276
"466",6,0,39.9895696,-83.0257431,0,1516232277
"467",10,0,39.9895696,-83.0257434,0,1516232278
"468",10,0,39.9895696,-83.0257435,0,1516232279
"469",10,0,39.9895696,-83.0257437,0,1516232280
"470",10,0,39.9895695,-83.0257439,0,1516232281
"471",10,0,39.9895694,-83.0257441,0,1516232282
"472",10,0,39.9895693,-83.0257444,0,1516232283
"473",11,0,39.9895692,-83.0257446,0,1516232284
"474",11,0,39.9895691,-83.0257448,0,1516232285
"475",11,0,39.989569,-83.0257451,0,1516232286
"476",11,0,39.9895689,-83.0257454,0,1516232287
"477",11,0,39.9895688,-83.0257456,0,1516232288
